Epoch,Data
0,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': Infinity, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 0, '_last_lr': [0.0001]}}"
1,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.8032117858611967, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 1, '_last_lr': [0.0001]}}"
2,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.6176061555991847, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 2, '_last_lr': [0.0001]}}"
3,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.514190819491534, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 3, '_last_lr': [0.0001]}}"
4,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.4383759076921507, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 4, '_last_lr': [0.0001]}}"
5,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.3702903822876589, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 5, '_last_lr': [0.0001]}}"
6,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.3288952109545833, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 6, '_last_lr': [0.0001]}}"
7,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.295758352595256, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 7, '_last_lr': [0.0001]}}"
8,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.2659711799976956, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 8, '_last_lr': [0.0001]}}"
9,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 1.231445526619244, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 9, '_last_lr': [0.0001]}}"
